Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Latitude,Longitude,Substance,Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture,Incident type,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Emergency Level,Equipment or component involved,Repair type,Repair date,Equipment or component has never been inspected,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type
Release of Substance,9/26/2008,Falcon Lake,Manitoba,TransCanada PipeLines Limited,49.68098,-95.37458,Natural Gas - Sweet,Gas,No,2008,2008/09/25 03:35:00 PM Mountain,2008/09/25 03:35:00 PM Mountain,"Damage or deterioration mechanism, Cracking, Mechanical Damage Delayed Cracking",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,No,No,Yes,No,Level I,"Pipeline, Pipe, Body",Replacement,10/19/2008,No,,No,No,10/19/2008,Replacement
Fire,10/7/2008,Huntsville,Ontario,TransCanada PipeLines Limited,45.33806,-79.24126,Not Applicable,Not Applicable,No,2008,2008/10/06 02:30:00 PM Mountain,2008/10/06 02:30:00 PM Mountain,"Substandard Conditions, Inadequate guards or barriers",External Interference,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),4/14/2010,No,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,No,No,No,Yes,Level I,"Pipeline, Auxiliary device(s) (please explain)",Replacement,10/13/2008,No,,No,No,10/13/2008,Replacement
Release of Substance,10/16/2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,49.91211,-98.51757,Natural Gas - Sweet,Gas,No,2008,2008/10/16 02:30:00 PM Mountain,2008/10/16 02:30:00 PM Mountain,"Damage or deterioration mechanism, External Interference, Third Party",External Interference,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Pipe",Replacement,10/18/2008,No,,No,No,10/18/2008,Replacement
Release of Substance,11/4/2008,Reynolds,Manitoba,TransCanada PipeLines Limited,49.65789,-96.16268,Natural Gas - Sweet,Gas,No,2008,2008/11/03 02:00:00 PM Mountain,2008/11/03 02:00:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Valve, Pressure relief, Other (please explain)",Replacement,11/3/2008,No,,No,No,11/3/2008,Replacement
"Fire, Release of Substance",11/20/2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14652,-120.66937,Mixed HVP Hydrocarbons,Gas,No,2008,2008/11/17 02:00:00 PM Mountain,2008/11/17 02:00:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,,7/27/2012,Yes,No,"Fire, Release of Substance",Mixed HVP Hydrocarbons,0.005,No,No,,Equipment & Electrical,,,,,Canada,No,No,No,No,Level I,"Processing Plant, Sulphur plant",Replacement,,No,,No,No,,Replacement
Release of Substance,11/21/2008,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",59.20196,-121.5963,Condensate,Liquid,No,2008,2008/11/20 12:00:00 PM Mountain,2008/11/20 12:00:00 PM Mountain,"Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training",Inadequate Supervision,Operation,Employee / Contractor (Onsite),8/15/2012,Yes,No,Release of Substance,Condensate,10,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,11/26/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.56932,-121.94466,Amine,Miscellaneous,No,2008,2008/11/26 03:00:00 AM Pacific,2008/11/26 03:00:00 AM Pacific,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,Operation,,7/30/2012,Yes,No,Release of Substance,Amine,10,No,No,,,,,,,Canada,No,No,No,No,Level I,"Processing Plant, Sulphur plant",Replacement,,No,,No,No,,Replacement
Fire,11/26/2008,McLeod Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.03189,-123.03117,Not Applicable,Not Applicable,No,2008,2008/11/26 04:25:00 PM Eastern,2008/11/26 04:25:00 PM Eastern,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Lubrication and servicing",Maintenance,Maintenance,Employee / Contractor (Onsite),7/27/2012,Yes,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Compressor",,,No,,No,No,,
"Release of Substance, Adverse Environmental Effects",12/1/2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.5692,-121.94446,Glycol,Miscellaneous,Yes,2008,2008/11/30 08:45:00 PM Mountain,2008/11/30 08:45:00 PM Mountain,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Operation,,7/27/2012,Yes,No,"Adverse Environmental Effects, Release of Substance",Glycol,2,No,No,,,,,,,Canada,No,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,12/2/2008,Winnipeg,Manitoba,TransCanada PipeLines Limited,49.68017,-96.64917,Natural Gas - Sweet,Gas,No,2008,2008/11/28 04:33:00 PM Central,2008/11/28 04:33:00 PM Central,"Damage or deterioration mechanism, External Interference, Company Contractor",External Interference,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,No,No,Yes,No,Level I,"Station/Facility, Metering, Delivering, Valve, Ball, Other (please explain)",Rebuilt,11/28/2008,No,,No,No,11/28/2008,Repair
Fire,12/2/2008,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.63822,-121.65102,Not Applicable,Not Applicable,No,2008,2008/12/02 08:45:00 AM Pacific,2008/12/02 08:45:00 AM Pacific,"Damage or deterioration mechanism, Equipment",Equipment Failure,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Maintenance, Standards and Procedures",Operation,Employee / Contractor (Onsite),2/12/2015,Yes,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,12/8/2008,McLeod Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.032,-123.03098,Natural Gas - Sweet,Gas,No,2008,2008/12/05 04:50:00 PM Pacific,2008/12/05 04:50:00 PM Pacific,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Fitting",Replacement,,No,,No,No,,Replacement
Release of Substance,12/9/2008,Winnipeg,Manitoba,TransCanada PipeLines Limited,49.75544,-97.2305,Natural Gas - Sweet,Gas,No,2008,2008/12/08 12:00:00 AM Mountain,2008/12/08 09:30:00 AM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),1/19/2011,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Pipeline, Fitting, Nipple, Body",,,No,,No,No,,
Adverse Environmental Effects,12/10/2008,Goldboro,Nova Scotia,EnCana Corporation,45.18253,-61.65236,Not Applicable,Not Applicable,Yes,2008,2008/12/03 03:00:00 PM Atlantic,2008/12/03 03:00:00 PM Atlantic,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Construction,Employee / Contractor (Onsite),7/23/2012,No,No,Adverse Environmental Effects,,,,No,,,,,,,Canada,No,No,No,Yes,Level I,"Pipeline, Pipe, Body",,,No,,No,No,,
Fire,12/17/2008,Edmonton,Alberta,Enbridge Pipelines Inc.,53.5474,-113.35571,Not Applicable,Not Applicable,No,2008,2008/12/15 10:55:00 AM Mountain,2008/12/15 10:55:00 AM Mountain,"Substandard Conditions, Fire and explosion hazards",External Interference,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Construction,Employee / Contractor (Onsite),7/27/2012,No,No,Fire,,,,No,,Under Investigation or Unknown,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Compressor",,,No,,No,No,,
Release of Substance,1/13/2009,Hearst,Ontario,TransCanada PipeLines Limited,49.76492,-84.91824,Natural Gas - Sweet,Gas,No,2009,2008/02/04 12:00:00 AM Mountain,2008/12/14 12:00:00 AM Mountain,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Pipe",Replacement,12/14/2008,No,,No,No,12/14/2008,Replacement
Release of Substance,1/15/2009,Lincoln,Ontario,TransCanada PipeLines Limited,43.11405,-79.46307,Natural Gas - Sweet,Gas,No,2009,2009/01/14 09:00:00 PM Mountain,2009/01/14 11:00:00 PM Eastern,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Inadequate maintenance",Maintenance,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Pipe",Replacement,1/15/2009,No,,No,No,1/15/2009,Replacement
Serious Injury (CER or TSB),2/9/2009,White City,Saskatchewan,Enbridge Pipelines Inc.,50.44344,-104.35655,Not Applicable,Not Applicable,Yes,2009,2009/02/09 03:30:00 PM Mountain,2009/02/09 03:30:00 PM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction;Substandard Acts, Improper placement","Equipment Failure, Incorrect Operation","Personal factors, Lack of knowledge, Lack of experience;Job or system factors, Excessive wear and tear, Improper extension of service life;Job or system factors, Excessive wear and tear, Inadequate maintenance;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Human Factors, Maintenance, Standards and Procedures",Construction,Employee / Contractor (Onsite),12/22/2010,No,No,Serious Injury (CER or TSB),,,,No,,,,,Fracture,1,Canada,Yes,No,No,No,Level III,,,,No,,No,No,,
Release of Substance,2/9/2009,Lincoln,Ontario,TransCanada PipeLines Limited,43.11368,-79.46307,Fuel Gas,Gas,No,2009,2009/02/06 07:07:00 PM Eastern,2009/02/06 07:07:00 PM Eastern,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Fuel Gas,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Pipe",Replacement,2/6/2009,No,,No,No,2/6/2009,Replacement
"Serious Injury (CER or TSB), Release of Substance",2/20/2009,Wonowon,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.72686,-121.81832,Natural Gas - Sour,Gas,Yes,2009,2009/02/20 09:00:00 AM Mountain,2009/02/20 09:00:00 AM Mountain,"Damage or deterioration mechanism, Material Loss, Internal Material Loss;Substandard Acts, Failure to follow procedure or policy or practice","Corrosion and Cracking, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria","Engineering and Planning, Inadequate Supervision",Operation,Employee / Contractor (Onsite),7/23/2012,Yes,Yes,"Release of Substance, Serious Injury (CER or TSB)",Natural Gas - Sour,0.0001,No,No,,,,,Lost Consciousness,2,Canada,Yes,No,No,No,Level III,"Station/Facility, Pigging, Launching, Piping",Rebuilt,,No,,No,No,,Repair
Release of Substance,3/5/2009,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,49.91175,-98.51757,Lube Oil,Liquid,No,2009,2009/03/04 04:20:00 PM Central,2009/03/04 04:20:00 PM Central,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Release of Substance,Lube Oil,2.5,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Pipe",Replacement,,No,,No,No,,Replacement
Release of Substance,3/10/2009,Potter,Ontario,TransCanada PipeLines Limited,48.87172,-80.89396,Natural Gas - Sweet,Gas,No,2009,2009/03/09 10:43:00 AM Mountain,2009/03/09 10:43:00 AM Mountain,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Pipe",Replacement,3/9/2009,No,,No,No,3/9/2009,Replacement
Serious Injury (CER or TSB),3/13/2009,Sarnia,Ontario,Enbridge Pipelines Inc.,42.97494,-82.40703,Not Applicable,Not Applicable,Yes,2009,2009/03/13 04:30:00 PM Eastern,2009/03/13 04:30:00 PM Eastern,"Substandard Acts, Failure to secure;Substandard Acts, Under influence of alcohol and/or other drugs",Incorrect Operation,"Personal factors, Physical or physiological stress, Drugs",Human Factors,Maintenance,Employee / Contractor (Onsite),12/22/2010,No,No,Serious Injury (CER or TSB),,,,No,,,,,Lost Consciousness,1,Canada,No,Yes,No,Yes,Level I,,,,No,,No,No,,
Release of Substance,3/23/2009,Not specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",57.31724,-120.82153,Natural Gas - Sour,Gas,Yes,2009,,2009/03/23 04:30:00 PM Mountain,"Damage or deterioration mechanism, External Interference, Third Party",External Interference,"Job or system factors, Inadequate communications, Inadequate communication methods ",Failure in communication,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sour,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Metering, Delivering, Piping",Replacement,,No,,No,No,,Replacement
Release of Substance,4/7/2009,Tumbler Ridge,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",54.97941,-121.06074,Natural Gas - Sour,Gas,Yes,2009,2009/04/07 02:00:00 PM Pacific,2009/04/07 02:00:00 PM Pacific,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,Operation,Employee / Contractor (Onsite),12/4/2013,Yes,No,Release of Substance,Natural Gas - Sour,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Pipeline, Valve, Ball, Seal/Packing",Replacement,,No,,No,No,,Replacement
Release of Substance,4/8/2009,Mattice,Ontario,TransCanada PipeLines Limited,49.58574,-83.16712,Natural Gas - Sweet,Gas,No,2009,2009/04/08 09:30:00 AM Mountain,2009/04/08 09:30:00 AM Mountain,"Damage or deterioration mechanism, Geotechnical Failure, Frost heave",Natural Force Damage,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Operation,Employee / Contractor (Onsite),12/4/2013,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Pipe",Rebuilt,4/9/2009,No,,No,No,4/9/2009,Repair
